deposition_method,thickness_nm,substrate_temp_C,annealing_temp_C,o2_pressure_Pa,precursor_molarity_M,grain_size_nm,carrier_concentration_cm3,urbach_energy_meV,bandgap_eV,refractive_index_550nm,extinction_coefficient_550nm,avg_transmittance_pct
PLD,329.7567688956645,367.79651270825315,500.0,41.86072435263904,,38.6,4.3398e+18,40.0,3.316,1.958,0.00214,91.6
PLD,397.6393146091672,281.44364455044143,300.0,34.73024948924566,,41.2,4.5705e+18,40.0,3.352,1.989,0.00349,92.7
PLD,217.98391146100755,268.13113476637716,300.0,45.73375656083386,,40.3,6.341e+18,47.8,3.331,1.981,0.00382,92.2
PLD,359.73841408106387,317.7091736159277,700.0,37.04272650439365,,56.7,3.2188e+18,40.0,3.318,1.987,0.00149,92.5
PLD,232.31183699937367,558.3846133397843,300.0,41.81986089992676,,50.7,6.5213e+18,40.0,3.309,1.957,0.00263,90.6
PLD,185.89485263000986,537.2046650540819,600.0,40.21061121136009,,60.6,2.6965e+18,40.0,3.317,1.981,0.00241,94.2
PLD,396.33403038789567,517.4535202059553,0.0,29.351875548528405,,26.7,6.1156e+18,56.1,3.345,1.956,0.00342,91.2
PLD,320.19766518938565,571.2277943846212,500.0,35.13081429492776,,46.2,1.8405e+18,40.0,3.301,1.957,0.00194,93.3
PLD,97.40605630010685,243.14308399906855,0.0,4.705006202221044,,16.3,1.5873e+19,51.0,3.364,1.995,0.00734,88.9
PLD,239.38562255820202,287.5950543734145,400.0,19.84735357205719,,38.9,5.0503e+18,48.8,3.355,1.956,0.0022,92.0
PLD,182.72179321005046,217.3545334372098,400.0,40.430518096953385,,39.7,1.9845e+18,41.0,3.307,1.99,0.00344,91.4
ALD,126.45676008333187,127.52006399147753,700.0,,,42.2,1.15595e+19,40.0,3.34,2.044,0.00242,94.3
ALD,10.766315242391785,181.98889037819728,0.0,,,14.7,2.98201e+19,54.8,3.45,2.067,0.00698,92.4
ALD,62.599903760770786,263.3089011036448,600.0,,,54.3,4.0143e+18,40.0,3.317,2.093,0.00394,94.6
ALD,154.6649357088596,155.9386472392464,500.0,,,37.1,1.09568e+19,40.0,3.302,2.005,0.00338,93.4
ALD,154.180574580202,181.70229996900315,400.0,,,33.4,3.58384e+19,45.0,3.36,2.034,0.00635,91.5
ALD,160.03889539090468,154.67693405948785,400.0,,,31.5,1.01351e+19,45.3,3.343,2.005,0.00354,92.3
ALD,119.60459625334518,173.8860747500176,700.0,,,56.1,5.0246e+18,40.0,3.306,2.079,0.00562,94.2
ALD,153.30831132411785,167.11307844876214,0.0,,,21.0,3.76785e+19,55.3,3.364,2.02,0.00852,87.1
ALD,92.61381583089592,195.68144484374938,500.0,,,44.9,3.1392e+18,40.0,3.312,2.085,0.00246,93.4
ALD,69.91091997784024,265.8234313083409,500.0,,,50.4,4.8925e+18,40.2,3.33,2.048,0.00485,90.7
ALD,164.22833405638613,263.29637134228597,700.0,,,56.6,2.8262e+18,40.0,3.312,2.017,0.00156,96.1
ALD,85.41896048348599,134.5256187535933,300.0,,,35.6,1.67144e+19,53.1,3.365,2.067,0.00475,90.8
ALD,35.178728196205626,147.40439968160857,0.0,,,18.6,7.8816e+18,54.0,3.379,2.066,0.00281,93.2
ALD,191.49119126769847,168.78099983923994,600.0,,,48.4,6.6938e+18,40.0,3.403,1.987,0.00499,91.0
ALD,34.42847920719069,236.07895161994736,400.0,,,40.8,6.487e+18,41.4,3.376,2.084,0.0029,96.4
ALD,155.7028312718609,247.1296975354669,400.0,,,41.4,7.2618e+18,41.6,3.353,2.025,0.00511,93.8
ALD,49.663260144886046,247.1332424326096,0.0,,,15.9,1.52431e+19,56.3,3.355,2.088,0.00488,91.6
ALD,173.0973582736869,143.2282291263246,300.0,,,29.6,2.54837e+19,50.4,3.377,1.978,0.00419,91.6
ALD,128.58578756919394,144.61466495129105,300.0,,,29.1,6.6182e+18,41.7,3.316,2.065,0.00293,92.5
ALD,189.33546201586213,297.51089968413277,500.0,,,42.3,3.4784e+18,40.0,3.321,2.017,0.00281,93.0
ALD,124.66352318125593,217.60837303900752,0.0,,,19.4,2.49231e+19,42.3,3.353,2.03,0.00588,92.4
ALD,170.00902240200904,252.37017218600738,300.0,,,41.6,7.5277e+18,53.8,3.362,2.033,0.0055,92.6
ALD,104.20121407662833,140.81773403285243,400.0,,,38.7,1.1582e+19,42.0,3.396,2.047,0.00273,94.9
ALD,179.13796527605547,223.78715199181516,400.0,,,38.2,8.3433e+18,40.0,3.362,1.997,0.00403,92.1
ALD,87.67439892558963,158.78533510623134,0.0,,,18.9,2.12846e+19,59.2,3.427,2.033,0.0049,90.6
ALD,186.3846551087191,197.0354549683385,700.0,,,56.0,4.5504e+18,40.0,3.305,1.955,0.00276,91.9
ALD,132.8048102750251,188.74031674415352,600.0,,,40.7,2.1239e+18,40.0,3.331,2.044,0.00342,91.2
ALD,184.88228987997857,271.8496491685291,600.0,,,50.0,1.714e+18,40.0,3.306,2.031,0.0044,93.8
ALD,18.148618691899443,171.96458164408176,600.0,,,51.7,1.7549e+19,40.0,3.403,2.115,0.00731,92.9
ALD,79.33875768485596,247.7675371686589,400.0,,,45.9,4.2748e+18,40.0,3.308,2.084,0.00231,94.0
ALD,181.32187003763852,161.67956217515325,500.0,,,43.7,9.3043e+18,42.3,3.344,2.047,0.0027,93.2
ALD,60.88656526552222,221.07630621069686,600.0,,,48.9,2.8825e+18,40.0,3.322,2.053,0.00323,94.0
ALD,113.27968464948026,271.24876465669314,600.0,,,41.1,5.3516e+18,40.0,3.319,2.065,0.00198,94.3
ALD,89.70622632709433,146.66486304035703,600.0,,,41.2,4.8325e+18,40.0,3.355,2.103,0.00181,91.6
ALD,11.899576714441292,183.56934296390733,600.0,,,45.2,1.28897e+19,42.5,3.425,2.103,0.004,94.1
ALD,17.85119707143264,295.39081814317535,600.0,,,50.8,4.8688e+18,40.0,3.39,2.143,0.00321,95.1
ALD,103.14810135113933,265.41231592499753,700.0,,,54.4,1.8152e+18,40.0,3.301,2.053,0.00281,94.6
ALD,81.88420413647623,276.6799351181796,600.0,,,39.4,2.4864e+18,42.9,3.305,2.06,0.0019,95.0
ALD,178.66065842290575,220.23540050561377,400.0,,,35.5,1.03025e+19,40.0,3.324,1.974,0.00222,90.0
ALD,72.17309408896392,174.74278926634446,500.0,,,41.6,1.14439e+19,40.2,3.373,2.085,0.00357,95.0
ALD,39.97851411692821,128.4264359704747,0.0,,,13.3,6.73946e+19,48.2,3.44,2.106,0.00841,91.6
ALD,32.75275648561502,273.0789953256209,400.0,,,38.6,2.93544e+19,43.8,3.397,2.108,0.00436,94.3
ALD,88.12731504907944,122.96133313276844,500.0,,,40.8,3.0517e+18,40.0,3.307,2.073,0.00645,93.5
ALD,197.11265462461665,286.6689640542143,300.0,,,36.7,9.9155e+18,40.0,3.349,2.015,0.00405,93.0
ALD,180.5167951356452,285.84284289228094,500.0,,,45.1,3.3843e+18,40.0,3.331,2.008,0.00226,94.9
ALD,111.69607499743968,289.89257493665093,400.0,,,43.0,9.9644e+18,47.3,3.36,2.017,0.00269,92.7
ALD,108.70415093851354,255.9048032159116,300.0,,,38.9,1.6783e+19,48.0,3.359,2.059,0.0046,92.3
ALD,127.99762168151788,232.3376049960458,400.0,,,36.9,2.9953e+18,40.0,3.342,2.054,0.00364,93.9
ALD,151.19626766764455,177.68548278633338,500.0,,,36.4,1.15079e+19,40.0,3.378,2.081,0.00456,91.3
ALD,20.65278885412385,266.3735977893374,400.0,,,36.4,1.31014e+19,42.4,3.369,2.097,0.00393,94.5
ALD,188.24763542872245,216.16999706068944,400.0,,,35.5,7.4746e+18,55.9,3.346,2.009,0.00425,91.1
ALD,176.2649592734887,202.38475180597337,600.0,,,45.8,3.9296e+18,42.1,3.326,1.98,0.00271,93.1
ALD,98.71822085884192,127.0205431083158,500.0,,,32.8,1.85098e+19,40.0,3.341,2.025,0.00481,92.5
ALD,74.1411070593081,123.81059290623577,500.0,,,35.7,6.4516e+18,40.0,3.329,2.053,0.0072,93.5
ALD,110.7840219645786,234.89133928838461,0.0,,,19.1,1.10573e+19,45.9,3.357,2.081,0.00442,89.6
ALD,105.73242235122635,127.76691309219109,0.0,,,21.8,2.1971e+19,58.9,3.397,2.055,0.00472,92.8
ALD,70.3460126719201,240.43572515509786,400.0,,,40.4,1.55537e+19,40.3,3.351,2.078,0.00531,92.3
ALD,33.71143620539985,186.99328367519024,0.0,,,17.9,3.10064e+19,47.4,3.391,2.086,0.00484,90.5
ALD,147.8364308515689,125.69396183880755,500.0,,,42.4,2.2267e+18,40.0,3.309,2.037,0.00344,95.7
ALD,179.0992403985137,212.24871770473206,600.0,,,47.1,2.5244e+18,40.0,3.306,2.031,0.00659,93.0
ALD,133.50042167193152,258.12369521010385,600.0,,,48.9,4.344e+18,40.0,3.298,2.053,0.0042,91.5
ALD,65.16226946572057,297.9702524285013,400.0,,,44.6,9.1915e+18,40.0,3.368,2.077,0.00322,93.8
ALD,92.9845668716116,149.5948929028412,600.0,,,45.5,6.053e+18,40.0,3.333,2.067,0.00177,95.8
ALD,45.67672543861244,178.3113707483565,600.0,,,45.8,2.6857e+18,40.0,3.336,2.1,0.00382,96.5
ALD,188.04220199473497,196.8996384751406,500.0,,,44.2,1.16595e+19,40.0,3.365,2.019,0.00228,95.0
ALD,57.616167801410214,197.3948983230773,500.0,,,39.2,9.1402e+18,40.0,3.344,2.092,0.00338,94.1
ALD,77.02011964882115,147.1551139548058,300.0,,,30.8,4.3373e+18,40.9,3.311,2.069,0.00423,96.7
ALD,133.10626947627236,165.9609480659534,0.0,,,9.3,1.22218e+19,64.5,3.326,2.012,0.00458,90.5
ALD,149.97400722152958,117.85705061660332,700.0,,,45.9,4.2281e+18,40.0,3.316,2.033,0.00407,91.8
ALD,95.72603857026878,214.44714470165107,700.0,,,57.2,1.8158e+18,40.0,3.295,2.065,0.00181,97.0
Sol-Gel,177.23792972817094,21.672144604426464,600.0,,0.4987050824087803,38.3,5.7642e+18,40.0,3.327,1.668,0.00512,95.5
Sol-Gel,194.80339058034787,24.61231723452345,500.0,,0.49648075006002484,35.3,7.7644e+18,46.5,3.311,1.652,0.00449,94.3
Sol-Gel,247.40448008482258,21.725256575920948,500.0,,0.6489041786975291,33.5,5.4938e+18,40.0,3.322,1.633,0.0048,96.3
Sol-Gel,74.82630301175712,24.55893430322397,600.0,,0.3953613858866135,35.7,7.9795e+18,40.0,3.334,1.752,0.00262,96.1
Sol-Gel,230.2462933198248,24.339263176725815,600.0,,0.36436373883014284,41.8,1.60027e+19,43.9,3.365,1.64,0.00469,93.2
Sol-Gel,248.73827620936441,21.74860861730989,400.0,,0.5972638664373349,30.7,6.0004e+18,40.0,3.343,1.653,0.00426,93.1
Sol-Gel,109.41458517943188,22.805330584407805,300.0,,0.4472056378653641,30.7,1.42196e+19,41.6,3.396,1.696,0.00657,91.2
Sol-Gel,191.03670145292378,21.881310309857394,500.0,,0.4032272571816719,31.7,5.4884e+18,41.5,3.356,1.633,0.00177,94.4
Sol-Gel,251.08363534093863,24.35025467142756,600.0,,0.39296666432026445,40.0,1.37368e+19,40.0,3.37,1.666,0.00491,92.0
Sol-Gel,286.90555843730226,23.45159786765618,700.0,,0.33802448352242287,42.9,9.4131e+18,40.0,3.345,1.623,0.00332,92.4
Sol-Gel,153.2373084607504,23.437176740042574,700.0,,0.4841574630705706,42.0,4.5747e+18,40.0,3.33,1.683,0.00337,92.2
Sol-Gel,88.11167725650114,23.04670384602733,400.0,,0.6001479579914293,35.1,6.0879e+18,42.2,3.346,1.713,0.00233,93.8
Sol-Gel,231.99069577889628,23.12493409015469,500.0,,0.6666555754596937,32.4,1.11833e+19,40.0,3.346,1.654,0.00291,94.2
Sol-Gel,203.53388118324614,23.517441680648062,0.0,,0.4433665763530171,9.9,2.05802e+19,68.6,3.343,1.634,0.00557,89.3
Sol-Gel,173.19868764317025,24.357565829146004,400.0,,0.325910424187722,41.0,4.2081e+18,43.9,3.309,1.692,0.00378,90.3
Sol-Gel,147.8117320460718,21.47055937709852,600.0,,0.3991886505155308,39.5,3.1753e+18,40.0,3.328,1.712,0.00198,92.9
Sol-Gel,57.006864402557795,20.825626510758664,300.0,,0.35628468318263157,25.4,9.9961e+18,49.8,3.337,1.754,0.00651,92.1
Sol-Gel,280.116255079762,21.66515812191471,0.0,,0.4816718900157951,14.6,7.38777e+19,58.1,3.401,1.641,0.00997,88.3
Sol-Gel,145.45012726843743,23.918999094968154,400.0,,0.3140319351004676,26.8,1.67173e+19,46.3,3.352,1.659,0.00347,92.2
Sol-Gel,61.26066145052238,24.28225849331519,300.0,,0.6372025421095813,27.8,2.42888e+19,51.3,3.432,1.772,0.0059,90.6
Sol-Gel,75.85544808050571,22.036566343641724,300.0,,0.5553951335008351,21.6,1.91505e+19,51.1,3.374,1.687,0.00545,94.9
Sol-Gel,197.5031883097935,22.76380998838591,0.0,,0.6491560404596892,10.9,4.73134e+19,67.7,3.392,1.628,0.00843,89.4
Sol-Gel,58.89052311058,23.991771380465703,400.0,,0.7111718358691803,28.6,2.11322e+19,48.3,3.352,1.745,0.00402,93.8
Sol-Gel,241.01166926341585,23.830322413315105,300.0,,0.6996799704552529,31.7,5.7026e+18,40.1,3.345,1.664,0.00387,92.3
Sol-Gel,235.63085062404102,23.874637866842832,700.0,,0.4321841583978242,46.9,6.4327e+18,40.0,3.33,1.631,0.00309,92.3
Sol-Gel,51.21503491132302,22.625097699160598,0.0,,0.3539243474307243,20.2,2.988e+19,50.1,3.409,1.749,0.00554,93.3
Sol-Gel,211.07148684500314,23.298566398305287,0.0,,0.4669866500011418,19.5,2.77107e+19,69.0,3.343,1.626,0.00573,89.0
Sol-Gel,126.59670697429772,20.660037816273,300.0,,0.6884700876173089,23.5,1.40823e+19,40.0,3.336,1.713,0.00479,92.3
Sol-Gel,122.69604378956055,22.625138993247443,600.0,,0.6948965175106496,41.9,1.3157e+18,40.0,3.322,1.71,0.00319,93.2
Sol-Gel,264.05920087477375,20.077735625861298,600.0,,0.5779664271641097,38.0,6.338e+18,40.0,3.336,1.654,0.00365,91.4
Sol-Gel,67.87310528787603,22.278638370740307,300.0,,0.45948551775432833,23.8,5.0447e+18,40.0,3.31,1.757,0.00318,93.4
Sol-Gel,154.25325917619696,20.525332523180566,0.0,,0.5622678562141099,17.5,3.63421e+19,55.0,3.386,1.686,0.00588,89.2
Sol-Gel,288.69465058233163,24.408416850290212,600.0,,0.4102026051953285,45.6,4.1389e+18,40.3,3.306,1.61,0.00293,93.2
Sol-Gel,71.65535702263486,24.189798310064212,300.0,,0.3506425029799201,26.9,9.3326e+18,40.0,3.365,1.746,0.00681,92.9
Sol-Gel,201.85477412182465,22.96875561879981,700.0,,0.3102659685612119,45.7,4.3861e+18,40.0,3.329,1.661,0.00198,96.8
Sol-Gel,114.46223458015594,24.63103524329503,400.0,,0.3145144651975145,32.1,2.6895e+18,40.0,3.326,1.726,0.00156,91.7
Sol-Gel,107.42373840920891,20.64123348974105,400.0,,0.7120116609289042,32.0,7.9206e+18,40.2,3.325,1.707,0.00226,95.9
Sol-Gel,134.34646580043523,23.47312448967022,300.0,,0.5571716876265435,27.8,5.2384e+18,56.6,3.36,1.709,0.00383,94.8
Sol-Gel,228.15265978071662,22.075472573556908,600.0,,0.47690904121087496,35.7,9.9346e+18,42.0,3.336,1.649,0.00344,92.7
Sol-Gel,154.69517730797395,23.546444807114,700.0,,0.6660330330252048,46.8,3.3183e+18,40.0,3.328,1.692,0.00239,94.9
Sol-Gel,228.7017218882856,23.850922764477318,600.0,,0.5613639206571837,37.1,2.954e+18,40.0,3.314,1.675,0.00177,95.6
Sol-Gel,279.7908895381006,24.665610799252846,600.0,,0.3623672426308147,35.1,1.17085e+19,40.0,3.353,1.644,0.00347,91.7
Sol-Gel,278.20968902608325,24.74714737148924,400.0,,0.6145184335638263,30.3,7.3938e+18,41.5,3.315,1.645,0.00213,95.1
Sol-Gel,183.95840828369893,22.70784896226702,0.0,,0.49722104733817635,13.9,1.20041e+19,66.9,3.334,1.667,0.00397,88.3
Sol-Gel,114.07378098783929,24.577466082627666,0.0,,0.5792503016330537,16.2,1.96642e+19,57.8,3.378,1.721,0.00528,91.7
Sol-Gel,207.910752264196,22.127495793858987,500.0,,0.7331500173635869,36.8,6.2541e+18,40.0,3.31,1.665,0.00192,93.7
Sol-Gel,73.09789434174195,23.614541745267744,600.0,,0.32283581277623796,41.0,6.4415e+18,40.0,3.363,1.734,0.00405,93.0
Sol-Gel,135.57562992886312,22.649198834098158,300.0,,0.7217691663312391,23.6,6.16e+18,48.1,3.317,1.71,0.00646,90.9
Sol-Gel,125.74780871724262,24.312778778805388,400.0,,0.38193156373887704,32.5,1.61584e+19,40.0,3.352,1.707,0.00515,92.9
Sol-Gel,288.3072970675427,20.773907349601753,400.0,,0.34641144620913206,31.6,1.05344e+19,40.0,3.336,1.636,0.00232,92.0
Sol-Gel,190.0419467986869,23.795129284236182,500.0,,0.4472452825878449,36.5,1.7915e+19,40.0,3.388,1.686,0.0054,92.5
Sol-Gel,148.00976531823318,24.24596698547953,0.0,,0.659691034010953,9.9,2.94292e+19,44.3,3.371,1.711,0.00559,90.4
Sol-Gel,120.63327263806684,23.60415098926482,0.0,,0.43982758324847715,19.6,1.17793e+19,68.8,3.319,1.726,0.0036,91.9
Sol-Gel,182.31760456204677,20.8172664341107,300.0,,0.322741391307311,29.3,1.99803e+19,45.9,3.375,1.631,0.00559,92.3
Sol-Gel,182.66294393616076,23.214757136591157,500.0,,0.6355333718205045,38.0,6.0295e+18,49.2,3.338,1.691,0.00355,93.3
Sol-Gel,264.745037742946,24.14024200169925,400.0,,0.5825627209281756,31.2,9.3117e+18,46.3,3.369,1.633,0.00572,92.3
Sol-Gel,174.72187810233476,20.87307184646773,700.0,,0.6353288400720206,43.1,1.1041e+18,40.0,3.295,1.674,0.00308,94.8
Sol-Gel,293.75569688131486,24.878026730270086,500.0,,0.6395574345003194,39.1,3.3887e+18,40.0,3.309,1.654,0.00146,95.1
Sol-Gel,62.803294612066225,21.555472323119854,600.0,,0.7236534012825213,34.5,1.26788e+19,40.0,3.346,1.771,0.00646,94.0
Sol-Gel,201.83762684254938,20.844344337324884,300.0,,0.4475875582370956,24.4,2.07918e+19,49.1,3.353,1.675,0.00453,92.3
Sol-Gel,156.0795568162021,23.179610101441284,0.0,,0.6773895116937412,11.6,7.709e+18,50.1,3.356,1.681,0.00402,90.2
Sol-Gel,126.0063023451018,20.121519260966082,600.0,,0.5030845879845298,42.0,6.8275e+18,40.0,3.35,1.709,0.00181,92.6
Sol-Gel,171.87016331527525,23.00222744497069,400.0,,0.5195235435318714,29.6,1.07736e+19,50.9,3.344,1.661,0.00325,91.7
Sol-Gel,299.323324144298,22.144280320964665,0.0,,0.3178349732233077,18.5,4.28641e+19,60.7,3.387,1.632,0.00671,89.0
Sol-Gel,149.46475498202912,24.756314705915763,500.0,,0.6984751120759523,28.3,3.8447e+18,40.5,3.28,1.703,0.00162,92.1
Sol-Gel,285.03657767426876,21.462062579875667,500.0,,0.5863317277560232,41.5,2.5485e+18,40.0,3.332,1.672,0.00357,94.4
Sol-Gel,183.04533344473,22.426094871510415,300.0,,0.47511474931436715,27.5,1.30817e+19,63.5,3.354,1.666,0.0052,90.1
Sol-Gel,148.00162681449524,20.107115537936863,600.0,,0.33188437943189625,43.4,3.84e+18,40.0,3.282,1.722,0.00378,94.1
Sol-Gel,68.08231139420863,22.174718367794622,600.0,,0.41504547212583276,37.7,4.0679e+18,40.0,3.32,1.773,0.00274,93.6
Sol-Gel,72.18441523885974,23.18819746689335,400.0,,0.4595472819709884,34.9,5.1982e+18,40.0,3.334,1.725,0.0035,93.9
Sol-Gel,266.25040264598647,20.87440808779955,300.0,,0.5871367609726494,24.9,2.25778e+19,44.1,3.4,1.658,0.00603,92.5
Sol-Gel,83.36657804076907,21.706896728041233,300.0,,0.6630677314170654,27.3,6.6658e+18,40.0,3.346,1.736,0.00198,95.5
Sol-Gel,122.19393512546746,23.690395870391544,700.0,,0.4673025821562986,38.4,8.1013e+18,40.0,3.369,1.664,0.00284,92.9
Sol-Gel,142.45231561690736,22.095892337943447,400.0,,0.43449234203505493,32.9,1.25444e+19,40.0,3.387,1.712,0.00461,94.5
Sol-Gel,67.6035196115593,21.237271858485467,500.0,,0.3225389141136277,35.7,4.8543e+18,40.0,3.35,1.756,0.00439,93.0
Sol-Gel,101.17464661299647,20.739100893699774,300.0,,0.689779863544491,18.6,1.97821e+19,46.1,3.351,1.724,0.00471,94.7
Sol-Gel,106.2385671430388,20.088967368892906,500.0,,0.3974996594347835,34.8,1.47772e+19,40.0,3.335,1.713,0.00604,91.3
Sol-Gel,156.7725906648699,23.865712975607096,700.0,,0.665352747019206,43.0,5.6564e+18,40.0,3.328,1.677,0.00173,93.8
Sol-Gel,84.27300458991633,22.299319335593225,600.0,,0.6154968340338854,43.0,4.9529e+18,40.0,3.35,1.754,0.00247,94.5
Sol-Gel,202.4763290431777,21.44706137078505,400.0,,0.45547192548387105,28.0,1.38328e+19,45.8,3.366,1.644,0.00463,94.2
Sol-Gel,166.8966750221951,20.438999676648244,300.0,,0.4007253582678488,27.0,7.1684e+18,40.7,3.314,1.687,0.00299,92.9
Sol-Gel,223.13961954556012,23.58012907570001,500.0,,0.356893091957674,40.5,9.3397e+18,40.0,3.361,1.655,0.00461,94.5
Sol-Gel,100.33101736722199,24.343359885269358,500.0,,0.3902220952212858,31.8,1.74261e+19,41.9,3.349,1.743,0.00325,94.4
Sol-Gel,110.5346782770533,21.645126770959013,600.0,,0.6491824795159653,47.3,2.5786e+18,40.0,3.31,1.742,0.00545,95.0
Sol-Gel,164.3758608985333,22.1492740768013,0.0,,0.7362489365387116,13.7,7.5192e+18,50.3,3.361,1.68,0.00302,91.1
Sol-Gel,149.8126141626043,24.785696531684913,600.0,,0.5943175851800944,38.9,8.7243e+18,40.0,3.348,1.687,0.00282,93.7
Sol-Gel,131.22158897237404,21.4065781098707,700.0,,0.412297001971558,38.7,2.7996e+18,40.0,3.308,1.676,0.00341,94.6
Sol-Gel,84.85388672929965,21.93820997075749,300.0,,0.6526329681823508,19.1,8.6599e+18,45.3,3.333,1.706,0.00451,92.8
Sol-Gel,174.56114566925197,22.057751474261952,400.0,,0.5757697240949375,34.6,9.566e+18,44.4,3.349,1.679,0.00313,92.3
Sol-Gel,143.04789414979734,22.992668633106053,400.0,,0.6741462237239653,28.9,6.2336e+18,50.2,3.342,1.7,0.00405,92.2
Sol-Gel,144.76493395817596,21.931272151684198,600.0,,0.5384008455005026,37.2,6.1808e+18,40.0,3.333,1.691,0.00258,91.4
Sol-Gel,248.87446822551385,24.641447986442756,0.0,,0.6187619738239074,17.1,1.19555e+19,52.8,3.337,1.633,0.0056,87.7
Sol-Gel,63.22292234155279,23.901789811460322,0.0,,0.3839829381555767,15.5,1.55752e+19,57.9,3.377,1.717,0.0061,89.7
Sol-Gel,97.82640961370363,21.39571384151583,400.0,,0.3846805889747794,31.2,8.4147e+18,50.6,3.363,1.659,0.00471,92.0
Sol-Gel,289.14813800293695,20.417124095960155,600.0,,0.3377682621840515,33.8,7.9844e+18,40.0,3.319,1.654,0.00272,91.4
Sol-Gel,136.70274258930655,24.486198119929877,300.0,,0.6915972133729613,18.5,8.8642e+18,40.0,3.359,1.642,0.00383,95.7
Sol-Gel,65.62303166651444,23.75950616168368,300.0,,0.5295203465510028,30.1,1.32866e+19,52.0,3.35,1.696,0.00674,90.6
Sol-Gel,107.52204645499104,21.792895835728373,600.0,,0.35860597388432125,39.5,8.1039e+18,43.5,3.34,1.69,0.00354,94.6
Sol-Gel,68.64629645552665,23.323229361122834,0.0,,0.7061309568837947,11.7,2.8624e+19,54.0,3.405,1.748,0.00518,92.5
Sol-Gel,294.00949968859106,20.891611926909857,500.0,,0.5188163110438544,42.9,6.5246e+18,40.0,3.312,1.631,0.00225,91.7
Sol-Gel,126.63327603378178,21.735360452913913,400.0,,0.37717259034068645,29.0,1.89102e+19,50.3,3.366,1.708,0.00393,93.6
Sol-Gel,91.56782826860092,23.55072418507782,400.0,,0.3290520111918538,32.2,5.652e+18,40.2,3.371,1.755,0.00198,93.6
Sol-Gel,75.37556815624868,22.751669669814355,600.0,,0.33708705792165283,48.4,1.02167e+19,40.0,3.383,1.739,0.0026,93.2
Sol-Gel,255.65914486235496,23.107319402343187,400.0,,0.5514765453904258,33.3,1.56348e+19,44.6,3.349,1.664,0.00388,93.5
Sol-Gel,189.80577767766468,22.743589223714658,400.0,,0.4663694475478539,28.6,1.49304e+19,49.7,3.338,1.635,0.00325,94.2
Sol-Gel,275.10507124929836,22.122982006367526,300.0,,0.6774106073038082,22.9,8.3089e+18,40.0,3.368,1.644,0.0023,96.3
Sol-Gel,147.1102770144882,22.383107594619133,600.0,,0.6491464908974263,44.7,9.8441e+18,43.6,3.354,1.65,0.00393,95.5
Sol-Gel,155.5248613821289,23.449885937998054,600.0,,0.5494917190021853,34.8,7.6593e+18,40.0,3.348,1.691,0.00226,92.7
Sol-Gel,180.74484596066435,24.93634506141381,600.0,,0.46261102060834747,43.2,2.9749e+18,40.0,3.288,1.678,0.00268,95.6
Sol-Gel,207.29858489123663,21.125430065114845,0.0,,0.6388633024036614,19.2,1.76067e+19,56.9,3.367,1.679,0.00392,88.2
Sol-Gel,179.3176208683398,24.691473836130314,400.0,,0.6654794852171162,30.5,4.1777e+18,40.0,3.296,1.669,0.00223,92.7
Sol-Gel,112.66264370065957,21.55769195105652,400.0,,0.5152511570194296,34.1,1.09726e+19,50.7,3.348,1.711,0.00632,88.8
Sol-Gel,189.29404032287096,22.596493154572443,500.0,,0.6036148409686568,35.6,1.59636e+19,43.4,3.399,1.638,0.00536,93.9
Sol-Gel,286.3693232936789,21.48674612236823,700.0,,0.6658889538711102,50.0,7.7279e+18,42.7,3.366,1.66,0.00234,93.8
Sol-Gel,189.5440871218801,24.82301489537521,300.0,,0.47210674721301576,27.5,6.2274e+18,40.0,3.368,1.682,0.00402,95.1
Sol-Gel,159.38019120346377,23.450403906526297,500.0,,0.547265305316563,32.5,4.0439e+18,40.0,3.327,1.688,0.00253,95.1
Sol-Gel,68.12319128678541,21.60865703992859,600.0,,0.39587156335794593,41.2,5.1302e+18,43.7,3.345,1.748,0.00292,93.9
Sol-Gel,296.1809974917828,24.119107347506,400.0,,0.49939179345937645,31.5,8.1528e+18,49.5,3.334,1.656,0.00231,93.1
Sol-Gel,55.33805630025558,22.956846927502067,300.0,,0.423753908324035,23.9,1.71418e+19,51.2,3.413,1.746,0.00447,94.0
Sol-Gel,51.78461471406108,22.73273605959198,0.0,,0.3569826214060207,11.9,1.78847e+19,59.0,3.364,1.744,0.00532,90.0
